 Air Date; Round; Category; Value; Question; Answer
19/01/2012;Jeopardy!;A SHAKESPEARE PLAY, FOR OPENERS;$200;"This play opens on the battlements of the castle at Elsinore as Barnardo asks, ""who's there?""";Hamlet
19/01/2012;Jeopardy!;THAT'S BUSINESS;$200;"He started a book business from his home in 1873; his son William joined forces with G. Clifford Noble in 1917";(Charles M.) Barnes
19/01/2012;Jeopardy!;NURSERY RHYMES;$200;"Peter, Peter was an eater of this; he kept his wife in its shell";pumpkin
19/01/2012;Jeopardy!;INLETS;$200;This largest Alaskan city lies at the head of cook inlet on the Kenai peninsula;Anchorage
19/01/2012;Jeopardy!;"THE EVOLUTION OF ""M""USIC";$200;"This '60s ""Nights in White Satin"" band has another color in its name";Moody Blues
19/01/2012;Jeopardy!;FOREIGN;$200;In Portuguese, domingo is this day of the week;Sunday
19/01/2012;Jeopardy!;A SHAKESPEARE PLAY, FOR OPENERS;$400;"""Othello"" opens with Roderigo addressing this villain: ""Tush, never tell me; I take it much unkindly""";Iago
19/01/2012;Jeopardy!;THAT'S BUSINESS;$400;In 1997 Tyco International moved to this U.K. territory in the Atlantic for tax purposes;Bermuda
19/01/2012;Jeopardy!;NURSERY RHYMES;$400;"""I had a little hobby-horse and it was dapple gray; its head was made of pea-straw, its tail was made of"" this";hay
19/01/2012;Jeopardy!;INLETS;$400;Big ships must pass through Admiralty Inlet to enter or leave this Washington State sound;Puget Sound
19/01/2012;Jeopardy!;"THE EVOLUTION OF ""M""USIC";$400;"1974's ""Mandy"" was his first Top 40 hit--& it reached No.1";Barry Manilow
19/01/2012;Jeopardy!;FOREIGN;$400;"In French, l'oiseau is this; it sports les plumes";a bird
19/01/2012;Jeopardy!;A SHAKESPEARE PLAY, FOR OPENERS;$600;"The chorus of ""Romeo & Juliet"" tells us it's in this city ""where we lay our scene""";Verona
19/01/2012;Jeopardy!;THAT'S BUSINESS;$600;An Italian clothier is known as the United Colors of this;Benetton
